"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
2694.12897053718,-0.713785085472421,0.084904042569919,6.25600287452387e-18,3.347425633039e-16,"ENSG00000219481"
453.233381160408,1.49265605239552,0.18151036289737,7.41837472447602e-18,3.95763707194532e-16,"ENSG00000147119"
944.893713251695,0.812562436941849,0.0971202445408667,7.79193302978974e-18,4.14466479035896e-16,"ENSG00000113456"
4035.43562102707,-1.38257579656708,0.16872939400857,8.10348266990616e-18,4.29770586775729e-16,"ENSG00000133110"
517.027129854307,-1.39472823616343,0.16865404516018,8.19555340512463e-18,4.33378941352514e-16,"ENSG00000147883"
2272.41673214656,0.733828876293151,0.0876695444307245,8.79730609860884e-18,4.63839250205014e-16,"ENSG00000051108"
1152.03858409948,-0.927576886959618,0.111747850574594,9.70138875253596e-18,5.10015865847605e-16,"ENSG00000196411"
907.657961796665,1.03571187147634,0.125049119721199,1.00964927746834e-17,5.2924406311945e-16,"ENSG00000087448"
1231.96986095662,-0.783379998790844,0.0941525558375622,1.10000753693124e-17,5.74937272636062e-16,"ENSG00000188042"
818.986308472715,1.05676415510783,0.127726783670079,1.10524410341042e-17,5.76004672621293e-16,"ENSG00000146373"
265.813276525119,3.70693763116672,0.46584684340235,1.16154281282424e-17,6.03600576393276e-16,"ENSG00000143127"
218.3476228313,1.75421095156844,0.215397536989275,1.28428636970004e-17,6.65467006276756e-16,"ENSG00000168621"
56.145889280883,-3.15622429105435,0.387531492876207,1.39537741993009e-17,7.20958327684223e-16,"ENSG00000188176"
42.90137769414,3.97399350306544,0.484861224847405,1.40037734783736e-17,7.2147440960581e-16,"ENSG00000101342"
663.159608924778,0.909697762892398,0.110135785946256,1.62529927432371e-17,8.3496856166966e-16,"ENSG00000103381"
1778.58442176056,0.808563284663568,0.0979116680013702,1.7943811405587e-17,9.19212520640752e-16,"ENSG00000104756"
49.9491137825046,3.36500291880399,0.415310696186487,1.90341941746038e-17,9.7230761857353e-16,"ENSG00000157152"
309.304215909479,-1.67372241172869,0.206854474902769,1.9644861318963e-17,1.00066706017949e-15,"ENSG00000126861"
368.158192610506,1.43248268732723,0.176332309812861,2.01495421571288e-17,1.02348322303478e-15,"ENSG00000099860"
90.0350688619864,-2.47332297253383,0.308906219423247,2.44331964097346e-17,1.23758257769757e-15,"ENSG00000183508"
1727.80413612155,-1.08132448332098,0.133009964781152,2.69080151630983e-17,1.35911856980669e-15,"ENSG00000169855"
114.903197148601,-1.96403022549445,0.241639968574046,2.91573171178984e-17,1.46861659851939e-15,"ENSG00000272841"
4345.75555605261,0.899692162726825,0.109994482043042,3.00123446806179e-17,1.50747242139527e-15,"ENSG00000101955"
527.210455422911,0.944935180811397,0.115689428758813,3.16994278314884e-17,1.58778911849278e-15,"ENSG00000122971"
6487.72973573177,-0.867120099028892,0.106432076186264,3.41237183039202e-17,1.70448445555759e-15,"ENSG00000189184"
2308.76229639274,0.815975317631711,0.099849421371552,3.61957147903953e-17,1.80298654447627e-15,"ENSG00000081377"
3251.95455031381,-0.714745517215477,0.0872525412919983,3.94550613403788e-17,1.95992745479259e-15,"ENSG00000151835"
1290.05270134504,0.852400013559856,0.104518239007947,4.1352637696297e-17,2.04854605203194e-15,"ENSG00000123094"
733.921336022358,-0.869980734684924,0.106590265048357,4.16074737615613e-17,2.05552319689993e-15,"ENSG00000026950"
3051.94182002628,0.666185053204596,0.0813078424554875,4.49498517193967e-17,2.21457848689661e-15,"ENSG00000231991"
241.894453674371,-1.42757642956842,0.178519739442663,7.09375163575941e-17,3.48540952305214e-15,"ENSG00000149633"
557.196750891961,-0.940328313803008,0.116643187577092,7.50673542019884e-17,3.67830035589743e-15,"ENSG00000242265"
7792.45509748719,1.2331647840993,0.154990056575968,7.77423145250339e-17,3.79904990654583e-15,"ENSG00000149591"
533.311627994039,-0.901308367995957,0.111751368066969,8.25686498158813e-17,4.02399430670262e-15,"ENSG00000132530"
16756.3351510887,0.836069605628425,0.103894605567777,9.18965656369528e-17,4.46651986944888e-15,"ENSG00000035403"
3515.24929071603,0.786004480314974,0.0973199727496796,9.47488242025062e-17,4.59277096241826e-15,"ENSG00000164050"
155.837656595499,-1.6477255904415,0.207243291092649,9.56678404155095e-17,4.62488605461788e-15,"ENSG00000135472"
201.577369495195,3.9335819939766,0.517014272665142,1.01525593561053e-16,4.89494519543556e-15,"ENSG00000170214"
3242.40128751998,1.06298587273823,0.13320455989652,1.05769222025301e-16,5.08594829749396e-15,"ENSG00000067082"
1732.32099286566,-0.759694178757783,0.0942244588732571,1.06556250077611e-16,5.11016569521138e-15,"ENSG00000100154"
1077.617717594,-1.04739626022179,0.131233444977595,1.10352436956983e-16,5.27818340373558e-15,"ENSG00000143344"
402.930033304417,-1.22176546299252,0.153437801459314,1.14433200805035e-16,5.4588875050698e-15,"ENSG00000155962"
440.099336407957,-0.9742849268394,0.121684897433654,1.15241524748345e-16,5.4829424123012e-15,"ENSG00000100626"
3390.27990943958,0.900650931363018,0.112596538184874,1.26044451033532e-16,5.98114089746486e-15,"ENSG00000114019"
4098.11999428398,1.28155546501497,0.162469021791654,1.26929690439025e-16,6.00733904985956e-15,"ENSG00000130066"
2195.02476022713,-1.18812126019419,0.150257675214471,1.34753401313671e-16,6.36092495415739e-15,"ENSG00000113361"
488.000363039249,1.67084392743774,0.214480819656497,1.5373943977647e-16,7.23819733172145e-15,"ENSG00000157510"
169.201816463876,-1.93362563248222,0.247419103908409,1.67696841600014e-16,7.85431025384793e-15,"ENSG00000025423"
196.028265600041,-2.14080141648575,0.276820141843881,1.67339875289306e-16,7.85431025384793e-15,"ENSG00000049246"
5535.3783654299,0.931987299412843,0.117213396964405,1.93140017401956e-16,9.02254091655975e-15,"ENSG00000134531"
1738.84257889968,0.922283757035705,0.116246698407385,2.15122054332856e-16,1.00234648158399e-14,"ENSG00000117758"
2427.53637241083,1.02469763719143,0.130297798083679,2.17750071587018e-16,1.01197662135493e-14,"ENSG00000106034"
4217.53185285954,-0.866652775916545,0.109206355854968,2.22947274620202e-16,1.03346664677416e-14,"ENSG00000135318"
630.441490264322,-0.876947570604551,0.110478899242389,2.24381149525428e-16,1.03744638160064e-14,"ENSG00000158292"
1333.93184299446,-0.772915746326223,0.0972781017877236,2.43363071809338e-16,1.12233322528542e-14,"ENSG00000154654"
